Genes with Zero Fragment:

pseudo_name pseudo_chr pseudo_strand pseudo_start pseudo_end pseudo_size pseudo_fragment pseudo_fpkm pseudo_primary_fragment pseudo_secondary_fragment parent_name parent_chr parent_strand parent_start parent_end parent_size parent_fragment parent_fpkm parent_primary_fragment parent_secondary_fragment pseudo_type
3752 PGOHUM00000248715 chr16 - 10812489 10813618 1130 0 0 0 0 ENSP00000354554_ENST00000361789 chrMT + 14746 15886 1141 0 0 0 0 Processed
3753 PGOHUM00000248716 chr16 - 10813871 10815320 1450 0 0 0 0 ENSP00000354813_ENST00000361567 chrMT + 12336 14147 1812 0 0 0 0 Processed
3754 PGOHUM00000248717 chr16 - 10815554 10816924 1371 0 0 0 0 ENSP00000354961_ENST00000361381 chrMT + 10759 12136 1378 0 0 0 0 Processed
3755 PGOHUM00000248718 chr16 - 10816921 10817211 291 0 0 0 0 ENSP00000354728_ENST00000361335 chrMT + 10469 10765 297 0 0 0 0 Processed
3756 PGOHUM00000248719 chr16 - 10817280 10817622 343 0 0 0 0 ENSP00000355206_ENST00000361227 chrMT + 10058 10403 346 0 0 0 0 Ambiguous
3757 PGOHUM00000248720 chr16 - 10817692 10818473 782 0 0 0 0 ENSP00000354982_ENST00000362079 chrMT + 9206 9989 784 0 0 0 0 Processed
3758 PGOHUM00000248721 chr16 - 10818476 10819152 677 0 0 0 0 ENSP00000354632_ENST00000361899 chrMT + 8526 9206 681 0 0 0 0 Processed
3765 PGOHUM00000261880 chr16 - 14782250 14782423 174 0 0 0 0 ENSP00000447283_ENST00000549536 chrHSCHR17_1 + 45030983 45041394 240 0 0 0 0 Ambiguous
3796 PGOHUM00000248754 chr16 - 20732315 20733581 1267 0 0 0 0 ENSP00000354813_ENST00000361567 chrMT + 12336 14147 1812 0 0 0 0 Processed
3854 PGOHUM00000259047 chr16 - 31574416 31575135 720 0 0 0 0 ENSP00000357501_ENST00000368515 chrGL000228.1 - 30529 32225 893 0 0 0 0 Processed
3905 PGOHUM00000248848 chr16 - 33943723 33944474 752 0 0 0 0 ENSP00000456539_ENST00000569241 chrHG1032_PATCH + 191094928 191096999 1574 0 0 0 0 Ambiguous
3948 PGOHUM00000248889 chr16 - 49100486 49100641 156 0 0 0 0 ENSP00000354728_ENST00000361335 chrMT + 10469 10765 297 0 0 0 0 Ambiguous
3996 PGOHUM00000248927 chr16 - 71732112 71732439 328 0 0 0 0 ENSP00000470743_ENST00000595651 chrHG1497_PATCH + 153605839 153609948 2318 0 0 0 0 Ambiguous
4017 PGOHUM00000248946 chr16 - 82154242 82155373 1132 0 0 0 0 ENSP00000354554_ENST00000361789 chrMT + 14746 15886 1141 0 0 0 0 Processed
4024 PGOHUM00000264443 chr16 - 90236971 90237551 581 0 0 0 0 ENSP00000469705_ENST00000599370 chrHG736_PATCH - 56890420 56891225 657 0 0 0 0 Processed
4044 PGOHUM00000263606 chr16 + 5179269 5179439 171 0 0 0 0 ENSP00000470948_ENST00000594215 chr8 - 8046157 8046330 174 0 0 0 0 Processed
4050 PGOHUM00000248979 chr16 + 6771785 6771954 170 0 0 0 0 ENSP00000449559_ENST00000551675 chrHSCHR6_MHC_QBL - 30028137 30033142 756 0 0 0 0 Ambiguous
4179 PGOHUM00000249094 chr16 + 33944921 33945369 449 0 0 0 0 ENSP00000456539_ENST00000569241 chrHG1032_PATCH + 191094928 191096999 1574 0 0 0 0 Ambiguous
4224 PGOHUM00000249137 chr16 + 55041894 55042195 302 0 0 0 0 ENSP00000354813_ENST00000361567 chrMT + 12336 14147 1812 0 0 0 0 Ambiguous
4227 PGOHUM00000250684 chr16 + 55776694 55784021 324 0 0 0 0 ENSP00000458773_ENST00000576185 chrHSCHR16_1_CTG3_1 - 55849241 55856973 518 0 0 0 0 Duplicated
4230 PGOHUM00000250686 chr16 + 55819871 55827868 339 17 23.610875 17 0 ENSP00000458773_ENST00000576185 chrHSCHR16_1_CTG3_1 - 55849241 55856973 518 0 0 0 0 Duplicated
4268 PGOHUM00000249178 chr16 + 82155447 82155973 527 0 0 0 0 ENSP00000354665_ENST00000361681 chrMT - 14148 14672 525 0 0 0 0 Processed
4281 PGOHUM00000264254 chr16 + 90234267 90234981 715 5 3.292508 5 0 ENSP00000459341_ENST00000572446 chrHG736_PATCH + 56870560 56872545 729 0 0 0 0 Processed
4282 PGOHUM00000262348 chr16 + 90237449 90238165 717 7 4.596653 7 0 ENSP00000459341_ENST00000572446 chrHG736_PATCH + 56870560 56872545 729 0 0 0 0 Processed
4310 PGOHUM00000236925 chr17 - 14608395 14608850 456 0 0 0 0 ENSP00000211372_ENST00000211372 chrHSCHR6_MHC_QBL + 33168625 33173128 613 0 0 0 0 Processed
4333 PGOHUM00000236955 chr17 - 18889466 18889651 186 0 0 0 0 ENSP00000354632_ENST00000361899 chrMT + 8526 9206 681 0 0 0 0 Ambiguous
4367 PGOHUM00000236990 chr17 - 22018520 22018829 310 0 0 0 0 ENSP00000354665_ENST00000361681 chrMT - 14148 14672 525 0 0 0 0 Ambiguous
4408 PGOHUM00000262951 chr17 - 30433347 30434480 564 1 0.834803 1 0 ENSP00000463373_ENST00000578871 chrHG747_PATCH + 65916215 65936660 1015 0 0 0 0 Duplicated
4475 PGOHUM00000262955 chr17 - 43585622 43592742 1723 8 2.186088 8 0 ENSP00000469012_ENST00000600392 chrHSCHR17_1 + 44831765 44874728 5177 0 0 0 0 Duplicated
4481 PGOHUM00000263617 chr17 - 44302262 44302408 147 0 0 0 0 ENSP00000469723_ENST00000597079 chrHG1146_PATCH + 43920022 43920168 147 0 0 0 0 Ambiguous
4483 PGOHUM00000259188 chr17 - 44360676 44364335 482 0 0 0 0 ENSP00000449384_ENST00000552547 chrHSCHR17_1 + 43886502 43890160 456 0 0 0 0 Duplicated
4545 PGOHUM00000237151 chr17 - 62774389 62775178 790 0 0 0 0 ENSP00000447624_ENST00000550209 chrHSCHR17_1 - 43506706 43510269 1376 0 0 0 0 Processed
4659 PGOHUM00000237274 chr17 + 19505571 19506517 947 0 0 0 0 ENSP00000354687_ENST00000361390 chrMT + 3306 4261 956 0 0 0 0 Processed
4660 PGOHUM00000237275 chr17 + 19507157 19508356 887 0 0 0 0 ENSP00000355046_ENST00000361453 chrMT + 4469 5510 1042 0 0 0 0 Duplicated
4661 PGOHUM00000237276 chr17 + 19508757 19509257 501 0 0 0 0 ENSP00000354499_ENST00000361624 chrMT + 5903 7444 1542 0 0 0 0 Ambiguous
4696 PGOHUM00000237314 chr17 + 22018903 22020037 1135 0 0 0 0 ENSP00000354554_ENST00000361789 chrMT + 14746 15886 1141 0 0 0 0 Processed
4697 PGOHUM00000237315 chr17 + 22024061 22025014 954 0 0 0 0 ENSP00000354687_ENST00000361390 chrMT + 3306 4261 956 0 0 0 0 Processed
4698 PGOHUM00000237316 chr17 + 22025224 22026249 1026 0 0 0 0 ENSP00000355046_ENST00000361453 chrMT + 4469 5510 1042 0 0 0 0 Processed
4699 PGOHUM00000237317 chr17 + 22026637 22028171 1535 0 0 0 0 ENSP00000354499_ENST00000361624 chrMT + 5903 7444 1542 0 0 0 0 Processed
4700 PGOHUM00000237318 chr17 + 22028318 22028994 677 0 0 0 0 ENSP00000354876_ENST00000361739 chrMT + 7585 8268 684 0 0 0 0 Processed
4701 PGOHUM00000237319 chr17 + 22029257 22029933 677 0 0 0 0 ENSP00000354632_ENST00000361899 chrMT + 8526 9206 681 0 0 0 0 Processed
4702 PGOHUM00000237320 chr17 + 22029936 22030718 783 0 0 0 0 ENSP00000354982_ENST00000362079 chrMT + 9206 9989 784 0 0 0 0 Processed
4703 PGOHUM00000237321 chr17 + 22031201 22031494 294 0 0 0 0 ENSP00000354728_ENST00000361335 chrMT + 10469 10765 297 0 0 0 0 Processed
4704 PGOHUM00000237322 chr17 + 22031833 22032098 266 0 0 0 0 ENSP00000354665_ENST00000361681 chrMT - 14148 14672 525 0 0 0 0 Ambiguous
4730 PGOHUM00000262981 chr17 + 28935448 28942995 233 0 0 0 0 ENSP00000463096_ENST00000582525 chrHG183_PATCH - 62632240 62739271 1716 0 0 0 0 Ambiguous
4736 PGOHUM00000262982 chr17 + 29343896 29344021 126 0 0 0 0 ENSP00000462676_ENST00000577997 chrHG183_PATCH - 62619654 62739256 5892 0 0 0 0 Processed
4774 PGOHUM00000237391 chr17 + 39427562 39428083 522 0 0 0 0 ENSP00000461584_ENST00000575341 chrHSCHR17_5_CTG4 + 39405870 39406836 967 0 0 0 0 Processed
4780 PGOHUM00000263434 chr17 + 40086976 40117497 1728 0 0 0 0 ENSP00000458114_ENST00000569541 chrHG185_PATCH + 40086907 40121902 2255 0 0 0 0 Duplicated
4796 PGOHUM00000263620 chr17 + 43698035 43698181 147 0 0 0 0 ENSP00000469723_ENST00000597079 chrHG1146_PATCH + 43920022 43920168 147 0 0 0 0 Ambiguous
4799 PGOHUM00000262367 chr17 + 44270939 44271103 165 0 0 0 0 ENSP00000448021_ENST00000552358 chrHSCHR17_1 - 43977150 43980248 470 0 0 0 0 Processed
4802 PGOHUM00000237416 chr17 + 44345859 44346056 198 0 0 0 0 ENSP00000448511_ENST00000547091 chrHSCHR17_1 - 43904775 43906057 279 0 0 0 0 Processed
4806 PGOHUM00000237421 chr17 + 45094558 45131786 4464 94 9.914402 94 0 ENSP00000469012_ENST00000600392 chrHSCHR17_1 + 44831765 44874728 5177 0 0 0 0 Duplicated
4820 PGOHUM00000237435 chr17 + 51183094 51183717 624 0 0 0 0 ENSP00000354499_ENST00000361624 chrMT + 5903 7444 1542 0 0 0 0 Ambiguous
4855 PGOHUM00000237472 chr17 + 61470706 61470945 240 0 0 0 0 ENSP00000354982_ENST00000362079 chrMT + 9206 9989 784 0 0 0 0 Ambiguous
4863 PGOHUM00000261244 chr17 + 62843503 62843835 333 0 0 0 0 ENSP00000447984_ENST00000546494 chrHSCHR17_1 + 43578254 43578589 336 0 0 0 0 Processed
4864 PGOHUM00000237481 chr17 + 62877209 62877295 87 0 0 0 0 ENSP00000447187_ENST00000553155 chrHSCHR17_1 + 43785310 43829070 2092 0 0 0 0 Ambiguous
4866 PGOHUM00000259245 chr17 + 62923751 62927403 456 0 0 0 0 ENSP00000449384_ENST00000552547 chrHSCHR17_1 + 43886502 43890160 456 0 0 0 0 Duplicated
4877 PGOHUM00000237493 chr17 + 66110550 66110675 126 0 0 0 0 ENSP00000463096_ENST00000582525 chrHG183_PATCH - 62632240 62739271 1716 0 0 0 0 Ambiguous
4882 PGOHUM00000237499 chr17 + 68170246 68170413 168 0 0 0 0 ENSP00000354499_ENST00000361624 chrMT + 5903 7444 1542 0 0 0 0 Ambiguous
4958 PGOHUM00000263621 chr18 - 15322145 15326016 584 0 0 0 0 ENSP00000470908_ENST00000594133 chrHG1486_PATCH - 16699847 16713305 819 0 0 0 0 Duplicated
4996 PGOHUM00000234927 chr18 - 45379603 45379827 225 0 0 0 0 ENSP00000354876_ENST00000361739 chrMT + 7585 8268 684 0 0 0 0 Ambiguous
5076 PGOHUM00000235007 chr18 + 14137725 14139365 651 0 0 0 0 ENSP00000357501_ENST00000368515 chrGL000228.1 - 30529 32225 893 0 0 0 0 Duplicated
5126 PGOHUM00000235060 chr18 + 48195871 48196365 495 0 0 0 0 ENSP00000354961_ENST00000361381 chrMT + 10759 12136 1378 0 0 0 0 Ambiguous
5172 PGOHUM00000263443 chr19 - 197313 198029 717 18 11.819966 18 0 ENSP00000459341_ENST00000572446 chrHG736_PATCH + 56870560 56872545 729 0 0 0 0 Processed
5173 PGOHUM00000264263 chr19 - 200398 201112 715 3 1.975505 3 0 ENSP00000459341_ENST00000572446 chrHG736_PATCH + 56870560 56872545 729 0 0 0 0 Processed
5197 PGOHUM00000262373 chr19 - 8853181 8854413 840 0 0 0 0 ENSP00000459885_ENST00000575875 chrHG729_PATCH - 8836095 8838683 795 0 0 0 0 Duplicated
5198 PGOHUM00000262374 chr19 - 8860641 8861873 840 0 0 0 0 ENSP00000459885_ENST00000575875 chrHG729_PATCH - 8836095 8838683 795 0 0 0 0 Duplicated
5199 PGOHUM00000262375 chr19 - 8868119 8869351 840 0 0 0 0 ENSP00000459885_ENST00000575875 chrHG729_PATCH - 8836095 8838683 795 0 0 0 0 Duplicated
5200 PGOHUM00000262376 chr19 - 8875592 8876824 840 0 0 0 0 ENSP00000459885_ENST00000575875 chrHG729_PATCH - 8836095 8838683 795 0 0 0 0 Duplicated
5201 PGOHUM00000262377 chr19 - 8881890 8883122 840 0 0 0 0 ENSP00000459885_ENST00000575875 chrHG729_PATCH - 8836095 8838683 795 0 0 0 0 Duplicated
5202 PGOHUM00000262378 chr19 - 8889340 8889612 273 0 0 0 0 ENSP00000459885_ENST00000575875 chrHG729_PATCH - 8836095 8838683 795 0 0 0 0 Ambiguous
5203 PGOHUM00000262379 chr19 - 8894654 8895886 840 0 0 0 0 ENSP00000459885_ENST00000575875 chrHG729_PATCH - 8836095 8838683 795 0 0 0 0 Duplicated
5223 PGOHUM00000234164 chr19 - 12314998 12315619 519 0 0 0 0 ENSP00000354687_ENST00000361390 chrMT + 3306 4261 956 0 0 0 0 Duplicated
5265 PGOHUM00000262380 chr19 - 20509533 20509847 315 0 0 0 0 ENSP00000456184_ENST00000562085 chrHG730_PATCH - 20506763 20535764 3351 0 0 0 0 Processed
5267 PGOHUM00000262382 chr19 - 20578692 20579006 315 0 0 0 0 ENSP00000456184_ENST00000562085 chrHG730_PATCH - 20506763 20535764 3351 0 0 0 0 Processed
5306 PGOHUM00000262387 chr19 - 23676203 23676494 292 0 0 0 0 ENSP00000456184_ENST00000562085 chrHG730_PATCH - 20506763 20535764 3351 0 0 0 0 Processed
5364 PGOHUM00000234327 chr19 - 42694851 42695099 249 0 0 0 0 ENSP00000354499_ENST00000361624 chrMT + 5903 7444 1542 0 0 0 0 Ambiguous
5475 PGOHUM00000234425 chr19 - 54778655 54779098 444 0 0 0 0 ENSP00000474825_ENST00000605783 chrHSCHR19LRC_COX1_CTG1 - 54754523 54760925 1977 0 0 0 0 Ambiguous
5476 PGOHUM00000263686 chr19 - 54817003 54817308 306 0 0 0 0 ENSP00000469203_ENST00000601626 chrHSCHR19LRC_COX2_CTG1 - 54847004 54847680 421 0 0 0 0 Processed
5503 PGOHUM00000259371 chr19 + 197927 198510 584 0 0 0 0 ENSP00000469705_ENST00000599370 chrHG736_PATCH - 56890420 56891225 657 0 0 0 0 Processed
5550 PGOHUM00000234515 chr19 + 12615467 12615709 243 0 0 0 0 ENSP00000354499_ENST00000361624 chrMT + 5903 7444 1542 0 0 0 0 Ambiguous
5551 PGOHUM00000234516 chr19 + 12616466 12616824 359 0 0 0 0 ENSP00000354876_ENST00000361739 chrMT + 7585 8268 684 0 0 0 0 Ambiguous
5552 PGOHUM00000234517 chr19 + 12618364 12618840 477 0 0 0 0 ENSP00000354632_ENST00000361899 chrMT + 8526 9206 681 0 0 0 0 Processed
5575 PGOHUM00000234539 chr19 + 18159446 18159906 461 0 0 0 0 ENSP00000211372_ENST00000211372 chrHSCHR6_MHC_QBL + 33168625 33173128 613 0 0 0 0 Processed
5600 PGOHUM00000234569 chr19 + 20874141 20874811 671 0 0 0 0 ENSP00000460325_ENST00000576815 chrHSCHR19_1_CTG3 + 20959253 20990225 1806 0 0 0 0 Ambiguous
5685 PGOHUM00000234667 chr19 + 35357254 35357814 561 0 0 0 0 ENSP00000439154_ENST00000319878 chrHG79_PATCH - 136131199 136150735 1077 0 0 0 0 Ambiguous
5697 PGOHUM00000234680 chr19 + 38061177 38062126 950 0 0 0 0 ENSP00000354961_ENST00000361381 chrMT + 10759 12136 1378 0 0 0 0 Ambiguous
5698 PGOHUM00000234681 chr19 + 38063744 38065649 1567 0 0 0 0 ENSP00000354813_ENST00000361567 chrMT + 12336 14147 1812 0 0 0 0 Duplicated
5699 PGOHUM00000234682 chr19 + 38070507 38071407 901 0 0 0 0 ENSP00000354499_ENST00000361624 chrMT + 5903 7444 1542 0 0 0 0 Ambiguous
5803 PGOHUM00000262398 chr19 + 55032896 55053083 414 0 0 0 0 ENSP00000459292_ENST00000575457 chrHSCHR19LRC_COX1_CTG1 + 54967786 54978543 1282 0 0 0 0 Duplicated
5804 PGOHUM00000234782 chr19 + 55063242 55063540 299 0 0 0 0 ENSP00000460184_ENST00000576133 chrHSCHR19LRC_COX1_CTG1 - 54720614 54746383 2066 0 0 0 0 Ambiguous
5805 PGOHUM00000234783 chr19 + 55119556 55184087 1453 0 0 0 0 ENSP00000459582_ENST00000572401 chrHSCHR19LRC_PGF1_CTG1 - 54742828 54746599 1395 0 0 0 0 Duplicated
5808 PGOHUM00000234787 chr19 + 55208560 55210287 1239 0 0 0 0 ENSP00000459257_ENST00000576737 chrHSCHR19LRC_COX1_CTG1 - 54742612 54746381 1395 0 0 0 0 Duplicated
5809 PGOHUM00000262399 chr19 + 55220381 55220704 324 0 0 0 0 ENSP00000460730_ENST00000573666 chrHSCHR19LRC_COX1_CTG1 - 54725697 54726773 586 0 0 0 0 Processed
5810 PGOHUM00000234789 chr19 + 55220818 55222201 934 0 0 0 0 ENSP00000459257_ENST00000576737 chrHSCHR19LRC_COX1_CTG1 - 54742612 54746381 1395 0 0 0 0 Duplicated
5811 PGOHUM00000262402 chr19 + 55251693 55252016 324 0 0 0 0 ENSP00000459224_ENST00000571738 chrHSCHR19LRC_PGF2_CTG1 + 55009654 55024166 1788 0 0 0 0 Ambiguous
5812 PGOHUM00000259429 chr19 + 55270058 55278792 779 0 0 0 0 ENSP00000461891_ENST00000571420 chrHSCHR19LRC_COX1_CTG1 + 55173046 55187598 1590 0 0 0 0 Duplicated
5813 PGOHUM00000262404 chr19 + 55283056 55283358 303 0 0 0 0 ENSP00000459224_ENST00000571738 chrHSCHR19LRC_PGF2_CTG1 + 55009654 55024166 1788 0 0 0 0 Ambiguous
5814 PGOHUM00000263016 chr19 + 55297806 55301768 1028 0 0 0 0 ENSP00000463944_ENST00000572474 chrHSCHR19LRC_PGF2_CTG1 + 55026195 55031821 996 0 0 0 0 Duplicated
5815 PGOHUM00000262405 chr19 + 55347274 55347585 312 0 0 0 0 ENSP00000458845_ENST00000574044 chrHSCHR19LRC_COX2_CTG1 + 54991290 55006270 1850 0 0 0 0 Ambiguous
5825 PGOHUM00000234807 chr19 + 57433381 57433584 204 0 0 0 0 ENSP00000354961_ENST00000361381 chrMT + 10759 12136 1378 0 0 0 0 Ambiguous
5846 PGOHUM00000264150 chr1 - 137117 137451 335 0 0 0 0 ENSP00000470663_ENST00000599140 chrHG736_PATCH - 56884714 56885556 648 0 0 0 0 Ambiguous
5855 PGOHUM00000262411 chr1 - 661547 662263 717 13 8.536642 13 0 ENSP00000459341_ENST00000572446 chrHG736_PATCH + 56870560 56872545 729 0 0 0 0 Processed
5856 PGOHUM00000264151 chr1 - 662740 663454 715 5 3.292508 5 0 ENSP00000459341_ENST00000572446 chrHG736_PATCH + 56870560 56872545 729 0 0 0 0 Processed
5875 PGOHUM00000243891 chr1 - 11485311 11485885 575 0 0 0 0 ENSP00000354554_ENST00000361789 chrMT + 14746 15886 1141 0 0 0 0 Ambiguous
5878 PGOHUM00000243894 chr1 - 12280851 12281165 315 0 0 0 0 ENSP00000470743_ENST00000595651 chrHG1497_PATCH + 153605839 153609948 2318 0 0 0 0 Ambiguous
5992 PGOHUM00000244009 chr1 - 47630163 47631543 642 0 0 0 0 ENSP00000354687_ENST00000361390 chrMT + 3306 4261 956 0 0 0 0 Duplicated
6019 PGOHUM00000244038 chr1 - 55838404 55839029 626 0 0 0 0 ENSP00000354876_ENST00000361739 chrMT + 7585 8268 684 0 0 0 0 Processed
6089 PGOHUM00000244109 chr1 - 94388130 94389112 983 0 0 0 0 ENSP00000354961_ENST00000361381 chrMT + 10759 12136 1378 0 0 0 0 Processed
6090 PGOHUM00000244110 chr1 - 94390961 94391626 666 0 0 0 0 ENSP00000354632_ENST00000361899 chrMT + 8526 9206 681 0 0 0 0 Processed
6091 PGOHUM00000244111 chr1 - 94392191 94392674 484 0 0 0 0 ENSP00000354876_ENST00000361739 chrMT + 7585 8268 684 0 0 0 0 Ambiguous
6092 PGOHUM00000244112 chr1 - 94393273 94393864 592 0 0 0 0 ENSP00000354499_ENST00000361624 chrMT + 5903 7444 1542 0 0 0 0 Ambiguous
6108 PGOHUM00000244130 chr1 - 107345246 107345371 126 0 0 0 0 ENSP00000354982_ENST00000362079 chrMT + 9206 9989 784 0 0 0 0 Ambiguous
6109 PGOHUM00000244131 chr1 - 107345374 107346047 674 0 0 0 0 ENSP00000354632_ENST00000361899 chrMT + 8526 9206 681 0 0 0 0 Processed
6110 PGOHUM00000244132 chr1 - 107346301 107346948 648 0 0 0 0 ENSP00000354876_ENST00000361739 chrMT + 7585 8268 684 0 0 0 0 Processed
6111 PGOHUM00000244133 chr1 - 107347095 107348653 1559 0 0 0 0 ENSP00000354499_ENST00000361624 chrMT + 5903 7444 1542 0 0 0 0 Processed
6127 PGOHUM00000244149 chr1 - 114119372 114119515 144 0 0 0 0 ENSP00000354813_ENST00000361567 chrMT + 12336 14147 1812 0 0 0 0 Ambiguous
6150 PGOHUM00000244172 chr1 - 120381819 120387097 717 0 0 0 0 ENSP00000393149_ENST00000449032 chrHG1287_PATCH - 149742044 149762280 1915 0 0 0 0 Duplicated
6160 PGOHUM00000244180 chr1 - 142790582 142791294 713 0 0 0 0 ENSP00000354982_ENST00000362079 chrMT + 9206 9989 784 0 0 0 0 Processed
6170 PGOHUM00000244190 chr1 - 143243800 143244858 1059 0 0 0 0 ENSP00000354499_ENST00000361624 chrMT + 5903 7444 1542 0 0 0 0 Processed
6171 PGOHUM00000244191 chr1 - 143342823 143343246 424 0 0 0 0 ENSP00000354982_ENST00000362079 chrMT + 9206 9989 784 0 0 0 0 Ambiguous
6196 PGOHUM00000264465 chr1 - 146239817 146244681 714 57 37.58716 57 0 ENSP00000393149_ENST00000449032 chrHG1287_PATCH - 149742044 149762280 1915 0 0 0 0 Duplicated
6197 PGOHUM00000264466 chr1 - 146246072 146250963 720 29 18.963931 29 0 ENSP00000393149_ENST00000449032 chrHG1287_PATCH - 149742044 149762280 1915 0 0 0 0 Duplicated
6212 PGOHUM00000263031 chr1 - 148354151 148354351 201 0 0 0 0 ENSP00000463391_ENST00000580077 chrHG1287_PATCH - 148788460 148838604 5467 0 0 0 0 Ambiguous
6320 PGOHUM00000244358 chr1 - 179793297 179793719 423 0 0 0 0 ENSP00000383517_ENST00000400678 chrGL000201.1 + 3904 22431 1617 0 0 0 0 Ambiguous
6363 PGOHUM00000244402 chr1 - 205444482 205444652 171 0 0 0 0 ENSP00000354961_ENST00000361381 chrMT + 10759 12136 1378 0 0 0 0 Ambiguous
6391 PGOHUM00000244430 chr1 - 220628478 220628596 119 0 0 0 0 ENSP00000354982_ENST00000362079 chrMT + 9206 9989 784 0 0 0 0 Ambiguous
6399 PGOHUM00000264157 chr1 - 222645518 222646137 620 0 0 0 0 ENSP00000459341_ENST00000572446 chrHG736_PATCH + 56870560 56872545 729 0 0 0 0 Processed
6400 PGOHUM00000264158 chr1 - 222646346 222646965 620 0 0 0 0 ENSP00000459341_ENST00000572446 chrHG736_PATCH + 56870560 56872545 729 0 0 0 0 Processed
6421 PGOHUM00000251097 chr1 - 227680729 227682533 1129 0 0 0 0 ENSP00000457062_ENST00000568866 chrHG905_PATCH - 96952 99276 1367 0 0 0 0 Duplicated
6422 PGOHUM00000256869 chr1 - 227682163 227682333 171 0 0 0 0 ENSP00000454914_ENST00000567466 chrHG905_PATCH - 97577 99520 1061 0 0 0 0 Ambiguous
6426 PGOHUM00000259525 chr1 + 228159310 228159629 320 0 0 0 0 ENSP00000469705_ENST00000599370 chrHG736_PATCH - 56890420 56891225 657 0 0 0 0 Ambiguous
6427 PGOHUM00000263745 chr1 - 228160572 228161096 525 0 0 0 0 ENSP00000470663_ENST00000599140 chrHG736_PATCH - 56884714 56885556 648 0 0 0 0 Processed
6437 PGOHUM00000251099 chr1 - 231253582 231254070 489 0 0 0 0 ENSP00000464083_ENST00000583101 chrHG1287_PATCH + 150270237 150271021 785 0 0 0 0 Processed
6446 PGOHUM00000244486 chr1 - 235701350 235703111 1762 0 0 0 0 ENSP00000354813_ENST00000361567 chrMT + 12336 14147 1812 0 0 0 0 Processed
6447 PGOHUM00000244487 chr1 - 235703344 235704715 1372 0 0 0 0 ENSP00000354961_ENST00000361381 chrMT + 10759 12136 1378 0 0 0 0 Processed
6448 PGOHUM00000244488 chr1 - 235704712 235704987 276 0 0 0 0 ENSP00000354728_ENST00000361335 chrMT + 10469 10765 297 0 0 0 0 Processed
6449 PGOHUM00000244489 chr1 - 235705056 235705391 336 0 0 0 0 ENSP00000355206_ENST00000361227 chrMT + 10058 10403 346 0 0 0 0 Ambiguous
6450 PGOHUM00000244490 chr1 - 235705458 235705684 227 0 0 0 0 ENSP00000354982_ENST00000362079 chrMT + 9206 9989 784 0 0 0 0 Ambiguous
6453 PGOHUM00000244494 chr1 - 238104061 238104360 300 0 0 0 0 ENSP00000354499_ENST00000361624 chrMT + 5903 7444 1542 0 0 0 0 Ambiguous
6454 PGOHUM00000244495 chr1 - 238104757 238105791 1035 0 0 0 0 ENSP00000355046_ENST00000361453 chrMT + 4469 5510 1042 0 0 0 0 Processed
6455 PGOHUM00000244496 chr1 - 238106000 238106952 953 0 0 0 0 ENSP00000354687_ENST00000361390 chrMT + 3306 4261 956 0 0 0 0 Processed
6456 PGOHUM00000244497 chr1 - 238111339 238112443 1105 0 0 0 0 ENSP00000354554_ENST00000361789 chrMT + 14746 15886 1141 0 0 0 0 Processed
6457 PGOHUM00000244498 chr1 - 238113041 238114802 1762 0 0 0 0 ENSP00000354813_ENST00000361567 chrMT + 12336 14147 1812 0 0 0 0 Processed
6475 PGOHUM00000262419 chr1 - 243217143 243217796 654 2 1.439843 2 0 ENSP00000459341_ENST00000572446 chrHG736_PATCH + 56870560 56872545 729 0 0 0 0 Processed
6476 PGOHUM00000264162 chr1 - 243218128 243218858 731 0 0 0 0 ENSP00000459341_ENST00000572446 chrHG736_PATCH + 56870560 56872545 729 0 0 0 0 Processed
6510 PGOHUM00000261302 chr1 + 135795 136378 584 0 0 0 0 ENSP00000469705_ENST00000599370 chrHG736_PATCH - 56890420 56891225 657 0 0 0 0 Processed
6512 PGOHUM00000264163 chr1 + 326167 326881 715 6 3.95101 6 0 ENSP00000459341_ENST00000572446 chrHG736_PATCH + 56870560 56872545 729 0 0 0 0 Processed
6513 PGOHUM00000262420 chr1 + 327455 328171 717 22 14.446625 22 0 ENSP00000459341_ENST00000572446 chrHG736_PATCH + 56870560 56872545 729 0 0 0 0 Processed
6516 PGOHUM00000244563 chr1 + 564290 564809 520 0 0 0 0 ENSP00000354687_ENST00000361390 chrMT + 3306 4261 956 0 0 0 0 Ambiguous
6517 PGOHUM00000244564 chr1 + 565019 566059 1041 0 0 0 0 ENSP00000355046_ENST00000361453 chrMT + 4469 5510 1042 0 0 0 0 Processed
6518 PGOHUM00000244565 chr1 + 566453 567992 1540 0 0 0 0 ENSP00000354499_ENST00000361624 chrMT + 5903 7444 1542 0 0 0 0 Processed
6519 PGOHUM00000244566 chr1 + 568136 568814 679 0 0 0 0 ENSP00000354876_ENST00000361739 chrMT + 7585 8268 684 0 0 0 0 Processed
6520 PGOHUM00000244567 chr1 + 569075 569752 678 0 0 0 0 ENSP00000354632_ENST00000361899 chrMT + 8526 9206 681 0 0 0 0 Processed
6521 PGOHUM00000244568 chr1 + 569755 570349 595 0 0 0 0 ENSP00000354982_ENST00000362079 chrMT + 9206 9989 784 0 0 0 0 Processed
6526 PGOHUM00000244573 chr1 + 808664 809725 1062 3 1.330024 3 0 ENSP00000457610_ENST00000564130 chrHG905_PATCH - 96891 100112 2123 0 0 0 0 Processed
